condition,family,seed,method,actual_estimator,status,age,truth,fitted_rate_sd,rate_variance_estimated,interval_status,interval_available,lower,upper,width,covered
t4-s2000-sd03,18,91300018,studentized,joint-map,completed,26.4647266337612,20.0,0.3552803549111095,True,conditional-studentized-curvature,True,14.63013900555578,53.230533086512814,38.60039408095703,True
t4-s2000-sd03,19,91300019,laplace,joint-map,completed,23.744532847577183,20.0,0.3826131974904634,True,conditional-laplace,True,14.598599622252625,32.89046607290174,18.291866450649117,True
t4-s2000-sd03,19,91300019,studentized,joint-map,completed,23.744532847577183,20.0,0.3826131974904634,True,conditional-studentized-curvature,True,13.572855935806285,49.60449367119951,36.031637735393225,True
t4-s2000-sd03,20,91300020,laplace,joint-map,completed,17.427119058576196,20.0,0.2890171479297729,True,conditional-laplace,True,13.584643156354524,21.269594960797868,7.684951804443344,True
t4-s2000-sd03,20,91300020,studentized,joint-map,completed,17.427119058576196,20.0,0.2890171479297729,True,conditional-studentized-curvature,True,12.727117751952644,28.509329819112207,15.782212067159564,True
t4-s2000-sd03,21,91300021,laplace,joint-map,completed,21.363455045250337,20.0,0.1490890606952209,True,conditional-laplace,True,18.025160579379577,24.701749511121097,6.67658893174152,True
t4-s2000-sd03,21,91300021,studentized,joint-map,completed,21.363455045250337,20.0,0.1490890606952209,True,conditional-studentized-curvature,True,16.42927299243148,29.213785930138517,12.784512937707037,True
t4-s2000-sd03,22,91300022,laplace,joint-map,completed,22.40846998967756,20.0,0.1151833345969691,True,conditional-laplace,True,19.39927377732469,25.417666202030425,6.0183924247057305,True
t4-s2000-sd03,22,91300022,studentized,joint-map,completed,22.40846998967756,20.0,0.1151833345969691,True,conditional-studentized-curvature,True,17.761256723892835,29.18902220171432,11.42776547782148,True
t4-s2000-sd03,23,91300023,laplace,joint-map,completed,25.105763208119317,20.0,0.4493777516595285,True,conditional-laplace,True,13.369379894009231,36.84214652222939,23.47276662822016,True
t4-s2000-sd03,23,91300023,studentized,joint-map,completed,25.105763208119317,20.0,0.4493777516595285,True,conditional-studentized-curvature,True,13.046074529645296,58.35802383932012,45.31194930967482,True
t4-s2000-sd03,24,91300024,laplace,marginal,completed,18.96792841229909,20.0,0.2915757540006059,True,conditional-laplace,True,14.296077237723551,23.63977958687463,9.34370234915108,True
t4-s2000-sd03,24,91300024,studentized,marginal,completed,18.96792841229909,20.0,0.2915757540006059,True,conditional-studentized-curvature,True,12.86726004833091,34.4122333432329,21.544973294901983,True
t4-s2000-sd03,25,91300025,laplace,joint-map,completed,20.14936221828849,20.0,0.1141567498167811,True,conditional-laplace,True,17.657688295094328,22.641036141482665,4.983347846388337,True
t4-s2000-sd03,25,91300025,studentized,joint-map,completed,20.14936221828849,20.0,0.1141567498167811,True,conditional-studentized-curvature,True,16.330202974281676,25.83658467272435,9.506381698442674,True
